number;style;year;year_dt;nr_token;nr_adj;nr_noun;nr_verb;nr_adverb;per_verb;per_noun;per_adj;per_adverb;flesch_reading_ease;smog_index;flesch_kincaid_grade;coleman_liau_index;automated_readability_index;dale_chall_readability_score;difficult_words;linsear_write_formula;gunning_fog;text_standard
1;Drama ;1805;1805-01-01;8504.0;601.0;1681.0;1481.0;515.0;17.415333960489182;19.767168391345248;7.067262464722483;6.055973659454374;68.1;9.7;8.7;12.3;13.3;6.94;1233.0;6.25;13.86;9.0
2;Drama ;1790;1790-01-01;7132.0;586.0;1328.0;1284.0;454.0;18.003365114974763;18.62030286034773;8.216489063376333;6.365675827257432;79.7;8.6;6.3;11.37;11.5;6.71;1026.0;4.9;12.42;7.0
3;Drama ;1803;1803-01-01;27192.0;2358.0;5121.0;3620.0;1360.0;13.31273904089438;18.832744924977934;8.671668137687554;5.001471020888497;1.47;10.0;19.8;12.07;16.8;6.76;2753.0;10.8;15.41;20.0
4;Drama ;1804;1804-01-01;1987.0;157.0;452.0;242.0;84.0;12.179164569703069;22.747861097131352;7.901358832410669;4.227478610971313;8.2;9.2;19.3;11.79;17.1;7.75;300.0;6.714285714285714;18.38;19.0
5;Drama ;1801;1801-01-01;32199.0;2308.0;6196.0;4800.0;1480.0;14.907295257616695;19.24283362837355;7.167924469704028;4.596416037765148;6.24;9.1;18.0;11.49;14.0;6.27;2783.0;65.0;12.87;13.0
6;Drama ;1781;1781-01-01;42292.0;3063.0;7798.0;7434.0;3142.0;17.577792490305495;18.438475361770546;7.242504492575428;7.429301049843942;79.19;8.0;6.5;10.21;10.9;6.04;4148.0;5.888888888888889;10.85;11.0
7;Drama ;1783;1783-01-01;31034.0;2408.0;6243.0;5375.0;1818.0;17.319713862215636;20.116646258941806;7.759231810272605;5.858091125861958;76.93;8.0;5.3;11.41;9.8;5.87;3303.0;16.75;8.76;6.0
8;Drama ;1788;1788-01-01;45866.0;2797.0;7635.0;6910.0;3171.0;15.065625953865608;16.64631753368508;6.0981991017311294;6.913617930493175;3.56;7.7;17.0;10.44;10.9;5.72;3281.0;3.0;9.91;10.0
9;Drama ;1784;1784-01-01;31836.0;2356.0;6125.0;5475.0;2412.0;17.1975122502827;19.239226033421282;7.400427189345395;7.576328684508104;82.04;8.0;5.4;10.14;9.7;5.83;3037.0;3.2142857142857144;9.57;10.0
10;Drama ;1800;1800-01-01;34830.0;2258.0;6492.0;5171.0;1661.0;14.84639678438128;18.63910422049957;6.482917025552684;4.768877404536319;-10.29;9.0;20.2;11.78;14.3;6.34;3165.0;70.0;12.94;13.0
