#,Name,Type,Year
197,an C Schwan,B,1782
198,an F Hoven,B,1782
199,an C Schiller,B,1782
200,an H Dalberg,B,1782
201,an Jakobi,B,1782
202,an A Streicher,B,1782
203,an Eltern,B,1782
204,an H Wuerttemberg,B,1782
205,an F Schwan,B,1782
206,an W Reinwald,B,1782
207,an Seeger,B,1782
208,an H Wolzogen,B,1783
209,an C Schiller,B,1783
210,an Freund,B,1783
211,an H Dalberg,B,1783
212,an W Wolzogen,B,1783
213,an W Reinwald,B,1783
214,an W Gleim,B,1784
215,an L Meister,B,1784
216,an G Goeckingh,B,1784
217,an H Wolzogen,B,1784
218,an J A Ebert,B,1784
219,an G Goeckingk,B,1784
220,an A Klein,B,1784
221,an C Schiller,B,1784
222,an A Knigge,B,1784
223,an H Dalberg,B,1784
224,an F Huber,B,1784
225,an F Grossmann,B,1784
226,an Rennschueb,B,1784
227,an W Petersen,B,1784
228,an W Wolzogen,B,1784
229,an G Jacobi,B,1784
230,an H Boie,B,1784
231,an R Zumsteeg,B,1784
232,an W Reinwald,B,1784
233,an C Schwan,B,1785
234,an Schneider,B,1785
235,an F Kunze Frau,B,1785
236,an A Klein,B,1785
237,an C Schiller,B,1785
238,an G Goeschen,B,1785
239,an F Kunze,B,1785
240,an H Dalberg,B,1785
241,an F Huber,B,1785
242,an G Koerner Minna,B,1785
243,an G Koerner,B,1785
244,an F Schoeder,B,1786
245,an H Wolzogen,B,1786
246,an G Goeschen,B,1786
247,an C Bertram,B,1786
248,an F Kunze,B,1786
249,an F Huber,B,1786
250,an G Becker,B,1786
251,an C Wieland,B,1786
252,an F Schroeder,B,1786
253,an W Reinwald,B,1786
254,an G Koerner,B,1786
255,an S Koch,B,1787
256,an G Herder,B,1787
257,an H Wolzogen,B,1787
258,an S Crusius,B,1787
259,an C Schroeter,B,1787
260,an G Goeschen,B,1787
261,H Wolzogen,B,1787
262,C Reinwald,B,1787
263,an G Koenrer,B,1787
264,an F Huber,B,1787
265,an F Grossmann,B,1787
266,an C Wieland,B,1787
267,an W Wolzogen,B,1787
268,an F Schroeder,B,1787
269,an G Koerner,B,1787
270,an E S Albrecht,B,1787
271,an C Schwan,B,1788
272,an H Wolzogen,B,1788
273,an S Crusius,B,1788
274,an L Lengeveld C Beulwitz,B,1788
275,an F Bertuch,B,1788
276,an G Goeschen,B,1788
277,an L Lengefeld C Beulwitz,B,1788
278,an F Huber,B,1788
279,an L Lengefeld,B,1788
280,an G Hufeland,B,1788
281,an C Wieland,B,1788
282,an W Wolzogen,B,1788
283,an C Beulwitz,B,1788
284,an C Ridel,B,1788
285,an R Zumsteeg,B,1788
286,an W Reinwald,B,1788
287,an G Koerner,B,1788
288,an H Meiningen,B,1789
289,an L Schubart,B,1789
290,an S Crusius,B,1789
291,an L Lengefeld C Beulwietz,B,1789
292,an G Goeschen,B,1789
293,G Koerner,B,1789
294,an L Lengefeld C Beulwitz,B,1789
295,an F Huber,B,1789
296,an L Lengefeld,B,1789
297,an G Hufeland,B,1789
298,an C Wieland,B,1789
299,an C Reinwald,B,1789
300,an C Beulwitz,B,1789
301,an W Reinwald,B,1789
302,an K Knebel,B,1789
303,an L Succow,B,1789
304,an G Koerner,B,1789
305,an J Schiller,B,1790
306,an J Mauke,B,1790
307,an G Goeschen,B,1790
308,an J E Schiller,B,1790
309,an L Lengefeld C Beulwitz,B,1790
310,an L Schiller,B,1790
311,an Lotte,B,1790
312,an F Huber,B,1790
313,an L Lengefeld,B,1790
314,an G Hufeland,B,1790
315,an W Wolzogen,B,1790
316,an C Reinwald,B,1790
317,an L Schiller C Beulwitz,B,1790
318,an C Beulwitz,B,1790
319,an C Curtius K Rechlin,B,1790
320,an G Koerner,B,1790
321,an H Augustenburg,B,1791
322,an S Crusius,B,1791
323,an C Murr,B,1791
324,an J Mauke,B,1791
325,an G Goeschen,B,1791
326,an J Baggesen,B,1791
327,an F Niethammer,B,1791
328,an L Schiller,B,1791
329,an C Wieland,B,1791
330,an J Dominikus,B,1791
331,an G Koerner,B,1791
332,an Z Becker,B,1792
333,an G Goeschen   Kopie,B,1792
334,an C Curtius,B,1792
335,an S Crusius,B,1792
336,an F Hoven,B,1792
337,an G Goeschen,B,1792
338,an J Baggesen,B,1792
339,an C Reinwald,B,1792
340,an G Goeschen   Kopie [2],B,1792
341,an M Wieland,B,1792
342,an Goes Buchhandlung,B,1792
343,an G Koerner,B,1792
344,an J Ramberg,B,1793
345,an C Schuetz,B,1793
346,an G Wacks,B,1793
347,W C Reinwald,B,1793
348,an L Simanowitz,B,1793
349,an G Goeschen,B,1793
350,an B Fischenich,B,1793
351,an W C Reinwald,B,1793
352,an J E Schiller,B,1793
353,an F Huber,B,1793
354,an F Haug,B,1793
355,an E Schimmelmann,B,1793
356,an W Reinwald,B,1793
357,L Simanowitz,B,1793
358,an C Kalb,B,1793
359,an Schuebler,B,1793
360,an G Koerner,B,1793
361,an H Gleichen,B,1793
362,an J Erhard,B,1794
363,an Z Becker,B,1794
364,an G Herder,B,1794
365,an C Schuetz,B,1794
366,an W Archenholz,B,1794
367,an F Augustenburg,B,1794
368,an F Matthisson,B,1794
369,an C Murr,B,1794
370,an F Hoven,B,1794
371,an L Simanowitz,B,1794
372,an C Schiller,B,1794
373,an G Goeschen,B,1794
374,an J Frauenholz,B,1794
375,an C Garve,B,1794
376,an E Gemlin,B,1794
377,an M Becht,B,1794
378,an W C Reinwald,B,1794
379,an J E Schiller,B,1794
380,an F Huber,B,1794
381,an G Hufeland,B,1794
382,an B Erhard,B,1794
383,an I Kant,B,1794
384,an J Danneker,B,1794
385,an F Cotta,B,1794
386,an H Meyer,B,1794
387,an W Reinwald,B,1794
388,an W Goethe,B,1794
389,an F Jacobi,B,1794
390,an G Koerner,B,1794
391,an W Humboldt,B,1795
392,an S Mereau,B,1795
393,an H Augustenburg,B,1795
394,an J Ramberg,B,1795
395,an G Herder,B,1795
396,an C Schuetz,B,1795
397,an J Abel,B,1795
398,an S Crusius,B,1795
399,an W Archenholz,B,1795
400,an F Meyer,B,1795
401,an G Voigt,B,1795
402,an F Matthisson,B,1795
403,an C Murr,B,1795
404,an F Hoven,B,1795
405,an K Morgenstern,B,1795
406,an C Zahn,B,1795
407,an C Garve,B,1795
408,an G Fichte,B,1795
409,an G Hartung,B,1795
410,an F Huber,B,1795
411,an C Schimmelmann,B,1795
412,an W Schlegel,B,1795
413,an A Streicher,B,1795
414,an B Ehrard,B,1795
415,an B Erhard,B,1795
416,an I Kant,B,1795
417,an F Cotta,B,1795
418,an F Reichardt,B,1795
419,an H Meyer,B,1795
420,an W Goethe,B,1795
421,an F Jakobi,B,1795
422,an F Jacobi,B,1795
423,an G Koerner,B,1795
424,an F Zelter,B,1796
425,an W Humboldt,B,1796
426,an S Mereau,B,1796
427,an G Herder,B,1796
428,an E Schiller,B,1796
